variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
laipower,"(4, 3)",parameters required by LAI calculation.,"`LeafGrowthPower1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafgrowthpower1>`_, `LeafGrowthPower2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafgrowthpower2>`_, `LeafOffPower1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafoffpower1>`_, `LeafOffPower2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-leafoffpower2>`_","4: See variable description for specifics; 3: Three vegetated land cover types (`EveTr`, `DecTr`, `Grass`)"
crwmax,0,Maximum water holding capacity of snow [mm],`CRWMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-crwmax>`_,Scalar
rainmaxres,0,Maximum water bucket reservoir [mm] Used for LUMPS surface wetness control.,`LUMPS_MaxRes <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-maxres>`_,Scalar
faidectree,0,Frontal area index for deciduous trees [-],`FAI_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-dectr>`_,Scalar
z,0,Measurement height [m].,`z <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-z>`_,Scalar
popprof_24hr,"(24, 2)",Hourly profile values used in dynamic population estimation.,"`PopProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popprofwd>`_, `PopProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popprofwe>`_",24: hours of a day; 2: Weekday and Weekend
sathydraulicconduct,"(7,)",Hydraulic conductivity for saturated soil [mm |s^-1|],`SatHydraulicCond <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-sathydrauliccond>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
irrfracconif,0,Fraction of evergreen trees that are irrigated [-],`IrrFr_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-irrfr-evetr>`_,Scalar
tau_a,0,Time constant for snow albedo aging in cold snow [-],`tau_a <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tau-a>`_,Scalar
ie_start,0,Day when irrigation starts [DOY],`Ie_start <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-start>`_,Scalar
th,0,Upper air temperature limit [°C],`TH <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-th>`_,Scalar
z0m_in,0,Roughness length for momentum [m],`z0 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-z0>`_,Scalar
alpha_bioco2,"(3,)",The mean apparent ecosystem quantum. Represents the initial slope of the light-response curve.,`alpha <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-alpha>`_,3: See variable description for specifics
ohm_threshsw,"(8,)",Temperature threshold determining whether summer/winter OHM coefficients are applied [°C],`OHMThresh_SW <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ohmthresh-sw>`_,8: Seven SUEWS land cover types and one extra land cover type (currently NOT used)
g5,0,Related to temperature dependence [°C],`G5 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g5>`_,Scalar
traffprof_24hr,"(24, 2)",Hourly profile values used in traffic activity calculation.,"`TraffProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-traffprofwd>`_, `TraffProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-traffprofwe>`_",24: hours of a day; 2: Weekday and Weekend
laimin,"(3,)",leaf-off wintertime value,`LAIMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-laimin>`_,3: See variable description for specifics
snowprof_24hr,"(24, 2)",Hourly profile values used in snow clearing.,"`SnowClearingProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwd>`_, `SnowClearingProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowclearingprofwe>`_",24: hours of a day; 2: Weekday and Weekend
wetthresh,"(7,)",Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface [mm].,`WetThreshold <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wetthreshold>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
frfossilfuel_heat,0,Fraction of fossil fuels used for building heating [-],`FrFossilFuel_Heat <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-frfossilfuel-heat>`_,Scalar
bldgh,0,Mean building height [m],`H_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-h-bldgs>`_,Scalar
theta_bioco2,"(3,)",The convexity of the curve at light saturation.,`theta <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-theta>`_,3: See variable description for specifics
internalwateruse_h,0,Internal water use [mm |h^-1|],`InternalWaterUse <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-internalwateruse>`_,Scalar
evetreeh,0,Mean height of evergreen trees [m],`H_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-h-evetr>`_,Scalar
frfossilfuel_nonheat,0,Fraction of fossil fuels used for building energy use [-],`FrFossilFuel_NonHeat <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-frfossilfuel-nonheat>`_,Scalar
qf_b,"(2,)",Parameter related to heating degree days.,"`QF_B_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-b-wd>`_, `QF_B_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf-b-we>`_",2: Weekday and Weekend
beta_bioco2,"(3,)",The light-saturated gross photosynthesis of the canopy. [umol |m^-2| |s^-1| ],`beta <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-beta>`_,3: See variable description for specifics
faievetree,0,Frontal area index for evergreen trees [-],`FAI_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-evetr>`_,Scalar
waterdist,"(8, 6)",Fraction of water redistribution,"`ToBSoil <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tobsoil>`_, `ToBldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tobldgs>`_, `ToDecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-todectr>`_, `ToEveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-toevetr>`_, `ToGrass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tograss>`_, `ToPaved <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-topaved>`_, `ToRunoff <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-torunoff>`_, `ToSoilStore <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tosoilstore>`_, `ToWater <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-towater>`_",8: Seven SUEWS land cover types and Runoff/SoilStore as water receiver; 6: SUEWS land cover types other than water as water contributors
snowd,"(7,)",Limit for the snow water equivalent when snow cover starts to be patchy [mm],`SnowLimPatch <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowlimpatch>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
wuprofa_24hr,"(24, 2)",Hourly profile values used in automatic irrigation.,"`WaterUseProfAutoWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowd>`_, `WaterUseProfAutoWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-wateruseprofautowe>`_",24: hours of a day; 2: Weekday and Weekend
faibldg,0,Frontal area index for buildings [-],`FAI_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fai-bldgs>`_,Scalar
qf0_beu,"(2,)",Building energy use [W |m^-2|],"`QF0_BEU_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf0-beu-wd>`_, `QF0_BEU_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-qf0-beu-we>`_",2: Weekday and Weekend
radmeltfact,0,Hourly radiation melt factor of snow [mm |w^-1| |h^-1|],`RadMeltFactor <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-radmeltfactor>`_,Scalar
tempmeltfact,0,Hourly temperature melt factor of snow [mm |K^-1| |h^-1|],`TempMeltFactor <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tempmeltfactor>`_,Scalar
gddfull,"(3,)",The growing degree days (GDD) needed for full capacity of the leaf area index (LAI) [°C].,`GDDFull <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-gddfull>`_,3: See variable description for specifics
sddfull,"(3,)",The sensesence degree days (SDD) needed to initiate leaf off. [°C],`SDDFull <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-sddfull>`_,3: See variable description for specifics
daywat,"(7,)",Irrigation flag: 1 for on and 0 for off.,"`DayWat(1) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-1>`_, `DayWat(2) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-2>`_, `DayWat(3) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-3>`_, `DayWat(4) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-4>`_, `DayWat(5) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-5>`_, `DayWat(6) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-6>`_, `DayWat(7) <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-daywat-7>`_",7: Seven days of a week: from Sunday to Saturday
albmax_grass,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
preciplimit,0,Limit for hourly snowfall when the ground is fully covered with snow [mm],`PrecipLimSnow <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-preciplimsnow>`_,Scalar
snowdensmin,0,Fresh snow density [kg |m^-3|],`SnowDensMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowdensmin>`_,Scalar
albmax_dectr,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
trafficrate,"(2,)",Traffic rate used for CO2 flux calculation.,"`TrafficRate_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-trafficrate-wd>`_, `TrafficRate_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-trafficrate-we>`_",2: Weekday and Weekend
g3,0,Related to VPD dependence [units depend on `gsModel`],`G3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-g3>`_,Scalar
lat,0,Latitude [deg].,`lat <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lat>`_,Scalar
fcef_v_kgkm,0,CO2 emission factor [kg |km^-1|],`FcEF_v_kgkm <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fcef-v-kgkm>`_,Scalar
lng,0,longitude [deg],`lng <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lng>`_,Scalar
soildepth,"(7,)",Depth of soil beneath the surface [mm],`SoilDepth <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-soildepth>`_,"7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
drainrt,0,Drainage rate of bucket for LUMPS [mm |h^-1|],`LUMPS_DrRate <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-lumps-drrate>`_,Scalar
humactivity_24hr,"(24, 2)",Hourly profile values used in human activity calculation.,"`ActivityProfWD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-activityprofwd>`_, `ActivityProfWE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-activityprofwe>`_",24: hours of a day; 2: Weekday and Weekend
enef_v_jkm,0,Emission factor for heat [J k|m^-1|].,`EnEF_v_Jkm <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-enef-v-jkm>`_,Scalar
ie_a,"(3,)",Coefficient for automatic irrigation model.,"`Ie_a1 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a1>`_, `Ie_a2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a2>`_, `Ie_a3 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ie-a3>`_",3: See variable description for specifics
laitype,"(3,)",LAI calculation choice.,`LAIEq <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-laieq>`_,3: See variable description for specifics
ah_slope_cooling,"(2,)",Cooling slope of QF calculation.,"`AHSlope_Cooling_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-cooling-wd>`_, `AHSlope_Cooling_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahslope-cooling-we>`_",2: Weekday and Weekend
narp_trans_site,0,Atmospheric transmissivity for NARP [-],`NARP_Trans <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-narp-trans>`_,Scalar
s2,0,A parameter related to soil moisture dependence [mm],`S2 <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-s2>`_,Scalar
ah_min,"(2,)",Minimum QF values.,"`AHMin_WD <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahmin-wd>`_, `AHMin_WE <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-ahmin-we>`_",2: Weekday and Weekend
beta_enh_bioco2,"(3,)",Part of the `beta` coeﬃcient related to the fraction of vegetation.,`beta_enh <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-beta-enh>`_,3: See variable description for specifics
snowalbmin,0,Effective surface albedo (middle of the day value) for wintertime (not including snow).,`AlbedoMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomin>`_,Scalar
resp_b,"(3,)",Respiration coeﬃcient b - related to air temperature dependency.,`resp_b <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-resp-b>`_,3: See variable description for specifics
snowdensmax,0,Maximum snow density [kg |m^-3|],`SnowDensMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-snowdensmax>`_,Scalar
baset,"(3,)",Base Temperature for initiating growing degree days (GDD) for leaf growth. [°C],`BaseT <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-baset>`_,3: See variable description for specifics
gsmodel,0,Formulation choice for conductance calculation.,`gsModel <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-gsmodel>`_,Scalar
popdensdaytime,0,"Daytime population density (i.e. workers, tourists) [people |ha^-1|]",`PopDensDay <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-popdensday>`_,Scalar
snowalbmax,0,Effective surface albedo (middle of the day value) for summertime.,`AlbedoMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-albedomax>`_,Scalar
laimax,"(3,)",full leaf-on summertime value,`LAIMax <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-laimax>`_,3: See variable description for specifics
pormin_dec,0,leaf-off wintertime value Used only for `DecTr` (can affect roughness calculation),`PorosityMin <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-porositymin>`_,Scalar
maxqfmetab,0,Maximum value for human heat emission. [W |m^-2|],`MaxQFMetab <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-maxqfmetab>`_,Scalar
tau_f,0,Time constant for snow albedo aging in melting snow [-],`tau_f <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tau-f>`_,Scalar
tl,0,Lower air temperature limit [°C],`TL <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-tl>`_,Scalar
sfr,"(7,)",Surface cover fractions.,"`Fr_Bldgs <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-bldgs>`_, `Fr_Bsoil <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-bsoil>`_, `Fr_DecTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-dectr>`_, `Fr_EveTr <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-evetr>`_, `Fr_Grass <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-grass>`_, `Fr_Paved <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-paved>`_, `Fr_Water <https://suews-docs.readthedocs.io/en/latest/input_files/SUEWS_SiteInfo/Input_Options.html#cmdoption-arg-fr-water>`_","7: Seven SUEWS land cover types ordered as `Paved`, `Bldgs`, `EveTr`, `DecTr`, `Grass`, `BSoil` and `Water`"
