variable,Dimensionality,Description,SUEWS-related variables,Dimensionality Remarks
trafficunits,0,Units for the traffic rate for the study area. Not used in v2018a.,:option:`TrafficUnits <suews:TrafficUnits>`,Scalar
traffprof_24hr,"(24, 2)",Hourly profile values used in traffic activity calculation.,":option:`TraffProfWD <suews:TraffProfWD>`, :option:`TraffProfWE <suews:TraffProfWE>`","24: hours of a day

        2: {Weekday, Weekend}"
tstep,0,Specifies the model time step [s].,:option:`Tstep <suews:Tstep>`,Scalar
veg_type,0,Internal use. Please DO NOT modify,None,Scalar
waterdist,"(8, 6)",Fraction of water redistribution,":option:`ToBSoil <suews:ToBSoil>`, :option:`ToBldgs <suews:ToBldgs>`, :option:`ToDecTr <suews:ToDecTr>`, :option:`ToEveTr <suews:ToEveTr>`, :option:`ToGrass <suews:ToGrass>`, :option:`ToPaved <suews:ToPaved>`, :option:`ToRunoff <suews:ToRunoff>`, :option:`ToSoilStore <suews:ToSoilStore>`, :option:`ToWater <suews:ToWater>`","8: { :term:`Paved`, :term:`Bldgs`, :term:`EveTr`, :term:`DecTr`, :term:`Grass`, :term:`BSoil`, :term:`Water`, one extra land cover type (currently NOT used)}

        6: { :term:`Paved`, :term:`Bldgs`, :term:`EveTr`, :term:`DecTr`, :term:`Grass`, :term:`BSoil`}"
waterusemethod,0,Defines how external water use is calculated.,:option:`WaterUseMethod <suews:WaterUseMethod>`,Scalar
wetthresh,"(7,)",Depth of water which determines whether evaporation occurs from a partially wet or completely wet surface [mm].,:option:`WetThreshold <suews:WetThreshold>`,"7: { :term:`Paved`, :term:`Bldgs`, :term:`EveTr`, :term:`DecTr`, :term:`Grass`, :term:`BSoil`, :term:`Water`}"
wuprofa_24hr,"(24, 2)",Hourly profile values used in automatic irrigation.,":option:`WaterUseProfAutoWD <suews:WaterUseProfAutoWD>`, :option:`WaterUseProfAutoWE <suews:WaterUseProfAutoWE>`","24: hours of a day

        2: {Weekday, Weekend}"
wuprofm_24hr,"(24, 2)",Hourly profile values used in manual irrigation.,":option:`WaterUseProfManuWD <suews:WaterUseProfManuWD>`, :option:`WaterUseProfManuWE <suews:WaterUseProfManuWE>`","24: hours of a day

        2: {Weekday, Weekend}"
z,0,Measurement height [m].,:option:`z <suews:z>`,Scalar
z0m_in,0,Roughness length for momentum [m],:option:`z0 <suews:z0>`,Scalar
zdm_in,0,Zero-plane displacement [m],:option:`zd <suews:zd>`,Scalar
